STATE/UT,CRIME HEAD,Cases Pending Investigation from Previous Year,Cases reported during the year,No. of cases withdrawn by the Govt. during investigation,Cases not investigated or in which investigation was refused,Cases declared false on account of mistake of fact or of law,Cases in which chargesheets were laid,Cases in which charge-sheets were not laid but final report submitted during the year,Total cases (Chargesheeted + Final Report submitted),Cases pending investigation at the end of the year,Cases pending trial from the previous year,Cases sent for trial during the year,No. of cases withdrawn by the Govt.,Total cases for trial during the year,Cases compounded or withdrawn,Cases in which trials were completed,Cases convicted,Cases acquitted or discharged,Cases pending trial at the end of the year
ANDHRA PRADESH,RAPE (SECTION 376 IPC),854,1341,0,0,72,1276,16,1292,831,2782,1276,0,4058,13,961,108,853,3084
ARUNACHAL PRADESH,RAPE (SECTION 376 IPC),33,46,0,0,0,24,3,27,52,524,24,0,548,1,30,3,27,517
ASSAM,RAPE (SECTION 376 IPC),2793,1716,0,47,22,1110,280,1390,3050,4993,1110,0,6103,0,506,97,409,5597
BIHAR,RAPE (SECTION 376 IPC),936,927,0,0,161,902,93,995,707,3253,902,0,4155,0,609,119,490,3546
CHHATTISGARH,RAPE (SECTION 376 IPC),140,1034,0,4,6,988,9,997,167,3764,988,0,4752,128,977,223,754,3647
GOA,RAPE (SECTION 376 IPC),30,55,0,0,0,26,4,30,55,97,26,0,123,1,12,1,11,110
GUJARAT,RAPE (SECTION 376 IPC),77,473,0,2,8,438,12,450,90,2935,438,0,3373,2,202,31,171,3169
HARYANA,RAPE (SECTION 376 IPC),182,668,0,0,126,635,10,645,79,977,635,0,1612,0,526,133,393,1086
HIMACHAL PRADESH,RAPE (SECTION 376 IPC),47,183,0,0,24,149,2,151,55,486,149,0,635,1,107,29,78,527
JAMMU & KASHMIR,RAPE (SECTION 376 IPC),73,303,0,0,53,257,3,260,63,1052,257,0,1309,4,253,19,234,1052
JHARKHAND,RAPE (SECTION 376 IPC),592,812,0,0,34,602,86,688,682,1795,602,0,2397,18,562,161,401,1817
KARNATAKA,RAPE (SECTION 376 IPC),252,621,0,2,22,587,14,601,248,1489,587,0,2076,0,428,65,363,1648
KERALA,RAPE (SECTION 376 IPC),804,1019,0,1,35,961,29,990,797,4320,961,0,5281,0,249,57,192,5032
MADHYA PRADESH,RAPE (SECTION 376 IPC),302,3425,0,0,44,3483,45,3528,155,7790,3483,0,11273,47,2801,547,2254,8425
MAHARASHTRA,RAPE (SECTION 376 IPC),670,1839,0,2,34,1616,32,1648,825,12798,1616,0,14414,8,1018,164,854,13388
MANIPUR,RAPE (SECTION 376 IPC),183,63,0,0,0,9,11,20,226,67,9,0,76,1,1,0,1,74
MEGHALAYA,RAPE (SECTION 376 IPC),333,164,0,0,0,93,10,103,394,544,93,0,637,1,15,7,8,621
MIZORAM,RAPE (SECTION 376 IPC),22,103,0,0,0,95,3,98,27,108,95,0,203,0,74,61,13,129
NAGALAND,RAPE (SECTION 376 IPC),2,21,0,0,0,15,4,19,4,30,15,0,45,0,11,8,3,34
ODISHA,RAPE (SECTION 376 IPC),776,1458,0,0,53,1336,7,1343,838,4537,1336,0,5873,0,724,154,570,5149
PUNJAB,RAPE (SECTION 376 IPC),166,680,0,0,61,512,28,540,245,453,512,0,965,2,456,151,305,507
RAJASTHAN,RAPE (SECTION 376 IPC),171,2049,0,1,745,1225,3,1228,246,3127,1225,0,4352,28,766,230,536,3558
SIKKIM,RAPE (SECTION 376 IPC),7,34,0,0,0,24,6,30,11,78,24,0,102,0,2,1,1,100
TAMIL NADU,RAPE (SECTION 376 IPC),731,737,0,0,65,558,13,571,832,1617,558,0,2175,0,299,60,239,1876
TRIPURA,RAPE (SECTION 376 IPC),68,229,0,0,1,206,3,209,87,687,206,0,893,0,109,16,93,784
UTTAR PRADESH,RAPE (SECTION 376 IPC),139,1963,0,0,247,1513,145,1658,197,4278,1513,0,5791,36,1230,619,611,4525
UTTARAKHAND,RAPE (SECTION 376 IPC),19,148,0,0,10,128,13,141,16,242,128,0,370,0,119,75,44,251
WEST BENGAL,RAPE (SECTION 376 IPC),2635,2046,0,0,1,2165,85,2250,2430,13032,2165,0,15197,0,1023,112,911,14174
TOTAL (STATES),RAPE (SECTION 376 IPC),13037,24157,0,59,1824,20933,969,21902,13409,77855,20933,0,98788,291,14070,3251,10819,84427
A & N ISLANDS,RAPE (SECTION 376 IPC),7,12,0,0,0,7,0,7,12,87,7,0,94,0,8,3,5,86
CHANDIGARH,RAPE (SECTION 376 IPC),18,27,0,0,0,34,1,35,10,46,34,0,80,0,27,9,18,53
D & N HAVELI,RAPE (SECTION 376 IPC),5,3,0,0,0,6,1,7,1,12,6,0,18,0,5,1,4,13
DAMAN & DIU,RAPE (SECTION 376 IPC),1,5,0,0,0,4,0,4,2,2,4,0,6,1,2,1,1,3
DELHI,RAPE (SECTION 376 IPC),147,706,0,1,9,568,20,588,255,1439,568,0,2007,0,603,297,306,1404
LAKSHADWEEP,RAPE (SECTION 376 IPC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,RAPE (SECTION 376 IPC),6,13,0,0,0,13,0,13,6,35,13,0,48,0,2,1,1,46
TOTAL (UTs),RAPE (SECTION 376 IPC),184,766,0,1,9,632,22,654,286,1621,632,0,2253,1,647,312,335,1605
TOTAL (ALL-INDIA),RAPE (SECTION 376 IPC),13221,24923,0,60,1833,21565,991,22556,13695,79476,21565,0,101041,292,14717,3563,11154,86032
ANDHRA PRADESH,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",576,1403,0,0,344,966,84,1050,585,2744,966,0,3710,69,891,58,833,2750
ARUNACHAL PRADESH,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",52,58,0,0,0,32,23,55,55,403,32,0,435,8,30,7,23,397
ASSAM,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",4317,3360,0,123,231,1247,1108,2355,4968,3779,1247,0,5026,0,712,50,662,4314
BIHAR,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",2007,3789,0,0,1343,2028,432,2460,1993,4832,2028,0,6860,1,754,55,699,6105
CHHATTISGARH,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",141,350,0,0,10,316,36,352,129,909,316,0,1225,0,151,42,109,1074
GOA,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",22,16,0,0,0,12,4,16,22,40,12,0,52,0,2,0,2,50
GUJARAT,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",411,1527,1,10,56,1191,276,1467,404,7839,1191,0,9030,25,435,30,405,8570
HARYANA,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",231,900,0,0,337,467,81,548,246,1088,467,0,1555,0,313,47,266,1242
HIMACHAL PRADESH,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",87,152,0,0,85,73,17,90,64,250,73,0,323,4,44,9,35,275
JAMMU & KASHMIR,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",476,1041,0,1,520,528,27,555,441,3909,528,0,4437,3,455,4,451,3979
JHARKHAND,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",393,786,0,0,62,523,155,678,439,893,523,0,1416,10,410,122,288,996
